Protein_ID,Group
Infected_1022,Infected
Infected_1002,Infected
Infected_1015,Infected
Infected_1004,Infected
Infected_1017,Infected
Infected_1031,Infected
Infected_1014,Infected
Infected_1042,Infected
Infected_1044,Infected
Clean_2205,Clean
Clean_2057,Clean
Clean_2078,Clean
Clean_2062,Clean
Clean_2086,Clean
Clean_2065,Clean
Clean_2044,Clean
Clean_2048,Clean
Clean_2033,Clean
Clean_2041,Clean
Clean_2060,Clean
Clean_2029,Clean
Clean_1054,Clean
Clean_2007,Clean
Clean_2038,Clean
Clean_2072,Clean
Clean_2064,Clean
Clean_2025,Clean
Clean_2063,Clean
